"","date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Sweden","United.Kingdom"
"415",2021-03-11,3.44291394690575,3.17750771484033,14.4999192147358,3.58172691245818,0.456673657579241,26.1882852260136,0.568369611102566,8.98235231956039,0.652419870607017,6.44204488262354,4.54954927120304,4.91393664229311,18.6743637107076,4.8529435753552,6.97487022185356,7.50012500208337,5.51144806498069,6.67867742639609,6.0783006692209,3.27505301275078,8.63512557352877,4.37887293065412,5.58861854397377,25.4108811044138,5.23809798414923,3.05957321397414,4.65136433818768
"416",2021-03-12,3.56708461384334,3.16877829804132,15.2570578535348,3.53266216023272,0.570842071974052,26.9113034986573,0.585592932651129,9.05783427182561,0.797402064075243,5.97049376311716,4.10627838642604,5.10042380139341,18.7459914071322,4.44513319087157,7.18527604564819,7.55220920348672,5.29671632218923,7.16736114052263,6.68613073614299,3.04938681575912,8.87740418065431,3.96044729505829,5.80495216503082,25.3191450715459,4.94976231529698,3.12799817403107,4.39778995975099
"417",2021-03-13,3.58966109874108,3.22115479883539,15.2427722188405,3.90064780192363,0.799178900763672,27.1272699956807,0.551146289554004,9.51072598541689,0.797402064075243,5.94661775706621,3.94727904732125,5.31488403435877,19.3190129785293,4.50630474854412,7.24657538013954,7.44804080068001,5.54723668877926,7.16736114052263,7.49657082537245,2.93944687363497,8.98537616861243,3.82421569277127,5.93372217756478,25.0439369729421,4.46920286720989,3.12799817403107,4.14421558131431
"418",2021-03-14,3.52193164404785,3.17750771484033,15.6284843555872,3.70438879302182,0.799178900763672,27.1084903002873,0.516699646456879,9.81265379447774,0.797402064075243,5.97497051425171,3.98823342254521,5.47339811959403,20.2399405039888,4.38396163319903,7.36586057158217,7.76054600910015,5.43987081738354,7.16736114052263,7.29396080306508,2.96259212460848,8.97747577924964,3.57121414566681,5.83585696803897,24.5669096020289,4.70948259125343,3.12799817403107,4.00617509127777
"419",2021-03-15,3.58966109874108,3.83221397476622,16.6284787841896,3.63079166468363,1.02751572955329,27.3244567973107,0.482253003359753,9.81265379447774,0.906138709176412,5.91229599836796,3.83887040702253,5.62258784687427,20.7208693228399,4.38396163319903,7.5447883587461,7.70846180769679,5.61881393637642,8.79630685427778,7.69918084767981,2.93944687363497,8.98800963173336,3.33767425603192,5.98523018257837,24.4935207757346,4.03669936393151,3.12799817403107,3.94615748691406
"420",2021-03-16,3.61223758363882,3.76237864037413,16.9713340168533,3.65532404079636,1.02751572955329,27.7563897913576,0.482253003359753,10.1145816035386,0.833647612442299,5.89737349458611,3.64614393538036,5.95826473325483,20.8538921876285,4.46552371009575,7.8082098231819,7.23970399506658,5.47565944118211,9.1220959970288,7.69918084767981,2.75428486584694,9.40146334171933,3.09440353766225,6.12430179611504,23.502771620761,3.74836369507926,2.83474834521565,3.59655494149544
"421",2021-03-17,3.73640825057641,3.76237864037413,18.5998963720059,3.77798592136,1.02751572955329,27.8033390298409,0.447806360262628,9.81265379447774,0.815524838258771,5.77650121395314,3.48353097493227,6.10745446053507,21.4576113432076,4.26161851785394,7.94737587986497,7.03136718945316,5.22513907459208,9.93656885390637,8.10440089229454,2.74271224036019,9.67007658005417,2.84140199055779,6.18611140213134,22.9156610104064,3.55613991584443,2.58059849357563,3.07740266374933
"422",2021-03-18,3.72512000812753,3.73619038997709,18.7284670842548,3.97424493026181,1.02751572955329,28.0662547653477,0.39613639561694,10.1900635558038,0.743033741524658,5.73919495449853,3.43053119523067,6.20069804008523,22.020400386544,3.46638826811086,8.08654193654803,7.03136718945316,5.29671632218923,9.44788513977983,7.69918084767981,2.74849855310357,9.84651860915647,2.77328618941428,6.14490499812047,23.0073970432743,3.50808397103572,2.53172352210639,2.85683796771269
"423",2021-03-19,4.00732606934932,3.79729630757018,19.4427488189709,4.24410106750181,1.02751572955329,28.2258821761911,0.344466430971252,9.96361769900817,0.688665418974073,5.50938839625807,3.32091801448419,6.49907749464572,22.7366773507903,3.48677878733504,8.23399168708128,6.82303038383973,5.33250494598781,10.0994634252819,7.29396080306508,2.82950693151083,10.2573388560215,2.6078621009229,6.36123861917752,22.5487168789347,3.79641963988797,2.53172352210639,2.65277811287607
"424",2021-03-20,4.04119079669593,3.57906088759488,19.6141764353027,4.12143918693818,1.02751572955329,27.9066273545043,0.378913074068378,10.265545508069,0.688665418974073,5.51834189852718,3.31971347403643,6.67624029579101,23.5655121237039,3.38482619121413,8.38972513146471,6.9792829880498,5.11777320319635,10.0994634252819,8.10440089229454,2.68484911292643,10.5338524837191,2.43270718369674,6.58272304073593,22.7321889446705,3.79641963988797,2.53172352210639,2.55825038600322
"425",2021-03-21,4.07505552404255,3.89331989235931,20.071316745521,4.48942482862909,1.1416841439481,27.7000507051776,0.361689752519815,10.1145816035386,0.688665418974073,5.53177215193085,3.33898612120064,6.56434800033083,24.4455095369208,3.36443567198995,8.5438018370781,6.82303038383973,5.29671632218923,10.0994634252819,7.69918084767981,2.59805442177579,10.5733544305331,2.21862895153142,6.73724705577668,22.1634255408894,3.89253152950539,2.53172352210639,2.48622926076677
"426",2021-03-22,4.02990255424706,3.80602572436919,20.3427438047131,4.34223057195272,1.1416841439481,27.4934740558508,0.361689752519815,9.81265379447774,0.61617432223996,5.50640389550171,3.34019066164841,6.84407873898129,25.2027166134098,3.38482619121413,8.65646007344058,6.71886198103302,5.36829356978638,9.1220959970288,7.90179086998717,2.52283235611191,10.6602587135238,2.13105149291834,6.72179465427261,21.7047453765498,3.79641963988797,2.53172352210639,2.41570857563941
"427",2021-03-23,4.10892025138916,3.80602572436919,20.071316745521,4.58755433308,1.37002097273772,27.3056771019174,0.378913074068378,10.5674733171299,0.579928773872904,5.38553161486874,3.2775545583647,6.89070052875637,26.164574251112,3.22170203742068,8.94638935819696,7.03136718945316,5.72617980777214,9.44788513977983,8.10440089229454,2.48232816690827,10.9604735093098,1.9364349182226,7.13900949488263,21.1543291793423,3.89253152950539,2.66857344222025,2.23715620265736
"428",2021-03-24,4.23309091832674,3.83221397476622,20.1998874577699,4.98007235088363,1.48418938713253,26.9770324325339,0.378913074068378,11.0203650307212,0.598051548056432,5.25869033272304,3.16312321582716,7.11448511967674,26.8808512153583,2.63037697991942,9.15845192076163,6.51052517541959,5.69039118397357,8.95920142565329,8.10440089229454,2.50547341788178,11.4371303341981,1.82939580213995,7.32958911343289,20.4571353295461,4.13281125354893,2.62947346504486,2.09911571262083
"429",2021-03-25,4.2895321305711,3.89331989235931,20.2570299965472,4.98007235088363,1.48418938713253,26.5357095907904,0.430583038714066,11.322292839782,0.706788193157602,5.20049256797383,3.07037360134936,7.12380947763175,27.9041040214245,2.48764334535015,9.3025881937548,6.6146935782263,5.65460256017499,9.93656885390637,7.49657082537245,2.36660191204076,11.8163490236119,1.74181834352686,7.55622433549265,19.6131638271612,3.84447558469668,2.56104850498794,1.92206377974788
"430",2021-03-26,4.16536146363352,3.97188464355041,20.071316745521,5.07820185533454,1.37002097273772,26.0474375105636,0.413359717165503,11.4732567443124,0.561805999689376,6.20626932287035,2.98726031045368,7.16110690945181,29.3878205902204,2.71193905681614,9.43015707904761,6.30218836980616,5.58302531257784,9.28499056840432,7.29396080306508,2.36081559929738,12.0638945569793,1.64451005617899,7.59743073950352,18.8425811510707,3.9405874743141,2.50239853922485,1.76451756829313
"431",2021-03-27,4.23309091832674,3.91950814275634,20.2284587271585,4.9555399747709,1.1416841439481,25.3056395425266,0.39613639561694,11.322292839782,0.561805999689376,6.23909883119041,3.06675998000607,7.34759406855212,30.30874811568,2.4264717876776,9.53453162155991,5.98968316138602,5.36829356978638,9.28499056840432,7.09135078075772,2.40710610124439,12.337774721556,1.53747094009634,8.02494718111626,18.0903456815538,3.9405874743141,2.50239853922485,1.66848940131119
"432",2021-03-28,4.32339685791771,3.98061406034943,20.3570294394074,5.29899324034909,1.37002097273772,24.8643167007831,0.39613639561694,11.2468108875168,0.561805999689376,6.22417632740857,3.00653295761789,7.35691842650713,30.9022347431983,2.69154853759196,9.58920400097111,5.7813463557726,5.54723668877926,9.28499056840432,7.29396080306508,2.355029286554,12.3930774470956,1.4888167964224,8.40095561771542,17.7600959632293,4.03669936393151,2.50239853922485,1.62197575792932
"433",2021-03-29,4.32339685791771,3.28226071642847,20.5855995945165,5.54431700147636,1.37002097273772,24.9488253300531,0.378913074068378,11.3977747920472,0.398701032037621,6.26446708761955,2.93666961164761,7.53408122765243,31.4957213707167,2.71193905681614,9.69357854348341,5.93759895998267,5.36829356978638,7.81893942602469,6.88874075845036,2.32609772283712,12.4457467095142,1.44989348148325,8.59668603676703,17.1913325594482,4.13281125354893,2.50239853922485,1.56045771345651
"434",2021-03-30,4.32339685791771,3.43939021881069,21.271310059844,5.66697888204,1.59835780152734,24.0849593419595,0.378913074068378,11.8506665056385,0.453069354588206,6.22417632740857,2.93426053075208,7.65529788106763,32.8361825466634,2.63037697991942,9.7383104902744,6.04176736278938,5.36829356978638,7.49315028327366,6.68613073614299,2.34924297381063,12.677491464156,1.3428543654006,8.81301965782408,17.5215822777727,4.75753853606214,2.52194852781255,1.47793350745641
"435",2021-03-31,4.32339685791771,3.63143738838895,21.1713106169837,5.83870551482909,1.71252621592216,23.6530263479126,0.39613639561694,11.8506665056385,0.72491096734113,6.31669585085602,2.90535156000575,7.84178504016793,33.9310630491542,2.46725282612596,9.79795308599571,5.72926215436924,5.26092769839066,6.8415719977716,6.28091069152827,2.26244828265999,13.201550625221,1.22608442058315,9.01905167787841,17.9986096486859,4.75753853606214,2.31667364764176,1.33089037676531
"436",2021-04-01,4.35726158526433,3.67508447238401,21.3713095027042,5.91230264316727,1.71252621592216,23.1835339630791,0.447806360262628,11.322292839782,0.743033741524658,6.37638586598341,2.91619242403563,8.04692091517827,34.452921980248,2.83428217216123,9.92717871005856,5.83343055717595,5.0461959555992,7.16736114052263,6.28091069152827,2.20458515522623,13.8967848891465,1.12877613323529,9.2559885009409,17.9068736158179,4.94976231529698,2.56104850498794,1.26487101196523
"437",2021-04-02,4.210514433429,3.77983747397215,21.5141658496474,6.20669115651999,2.1691998735014,22.8548892936957,0.465029681811191,11.5487386965776,0.743033741524658,6.44652163375809,2.8077837837369,8.1215157788184,35.0054784955237,2.79350113371287,10.084568893212,5.7813463557726,5.08198457939778,5.86420456951852,6.28091069152827,2.04835471115508,14.1100954019418,1.10931447576571,9.26629010194361,18.035304061833,4.90170637048827,2.30689865334791,1.19284988672878
"438",2021-04-03,4.31210861546884,4.19012006352571,22.0141630639486,6.67280630266181,2.28336828789621,21.9440740671186,0.499476324908316,11.3977747920472,0.743033741524658,6.46144413753994,2.77405665119952,8.21475935836855,35.1589664164336,2.6507674991436,10.0431504239611,5.31258854314239,4.93883008420347,5.86420456951852,5.67308062460618,2.14672202779247,14.6894572885463,1.09958364703092,9.48262372300066,17.7967903763764,4.85365042567956,2.30689865334791,1.06381203734679
"439",2021-04-04,4.23309091832674,4.0329905611435,22.428446470084,6.99172719212727,2.1691998735014,21.3900730530151,0.499476324908316,11.6242206488429,0.743033741524658,6.53008765493644,2.77526119164729,8.55976060270412,35.3329193934649,2.67115801836778,10.0862256319821,5.46884114735246,4.79567558900917,5.86420456951852,5.26786057999145,2.19301252973948,14.8553654651649,1.08012198956135,9.59079053352919,17.9986096486859,4.94976231529698,2.30689865334791,1.02780147472857
"440",2021-04-05,4.43627928240643,4.13774356273164,22.8284442415249,7.28611570547999,2.05503145910659,21.0989877744183,0.482253003359753,11.5487386965776,0.688665418974073,6.31221909972147,2.56205753239313,8.59705803452418,35.5785000669207,2.6507674991436,9.93711914267877,5.52092534875581,4.61673247001629,5.04973171264094,5.26786057999145,2.16986727876597,14.852732002044,0.982813702213481,9.89983856361069,18.1637345078481,5.0939301497231,2.30689865334791,1.0428058758195
"441",2021-04-06,4.47014400975304,4.22503773072176,21.1284537129007,7.48237471438181,1.94086304471178,19.8501380307611,0.499476324908316,11.6997026011081,0.942384257543469,6.51964190228915,2.39703549104952,8.85814005726461,34.7394327659465,2.38569074922924,9.72174310257403,5.0521675361256,4.36621210342626,5.701309998143,4.86264053537672,2.03099577292495,13.9678883934116,0.904967072335186,10.0131561746406,16.5858747425199,4.99781826010568,2.13094875605866,0.904765385782958
